Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,22977677860.7979
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,239899491127.742
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3727673593.01922
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,84722957642.3757
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,2033085185.18518
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,640591410663.883
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,24212134631.064
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1723827215334.71
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,516034144115.95
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,72356176470.5882
Bahamas, The,BHS,GDP (current US$),NY.GDP.MKTP.CD,14338500000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,43205000000
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,437415331040.994
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,6393564189.61345
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,71857382745.6066
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,632216577075.109
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,3281500000
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,19673284686.0023
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,..
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,..
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,45849832906.4139
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,27054889362.8852
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,19395765126.3127
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2173665655937.27
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,15128292953.5098
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,101584384672.786
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,20324617838.9676
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2642161668.92754
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,2587252076.3056
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,31772759998.8571
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,47945510090.0529
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,2140085567791.45
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,..
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2555492085.24831
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,13149325358.7383
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,..
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,335533331669.219
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,17794781986104.5
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,363540156234.868
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1352380972.15662
Congo, Dem. Rep.,COD,GDP (current US$),NY.GDP.MKTP.CD,66383287002.9969
Congo, Rep.,COG,GDP (current US$),NY.GDP.MKTP.CD,15321055818.3263
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,86497941439.0174
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,78788828906.8634
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,82688842717.3926
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,..
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,..
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,32229622669.1951
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,330858339871.686
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,404198757537.974
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,4098530513.55777
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,653992592.592593
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,121444279313.931
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,118844826000
Egypt, Arab Rep.,EGY,GDP (current US$),NY.GDP.MKTP.CD,395926075163.006
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,34015620000
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,12116922539.4112
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,..
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,40744848827.9537
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4597855845.04276
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,163697927593.982
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,..
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,5494797540.73365
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,300187202696.084
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,3030904089607.9
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,..
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,20516134388.6608
Gambia, The,GMB,GDP (current US$),NY.GDP.MKTP.CD,2339904156.79214
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,30535530479.0227
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,4456081016705.96
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,76370394412.4163
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,..
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,238206312632.528
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,..
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1320334235.58897
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,..
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,102050473863.636
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,23612295818.0961
