Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,42239854
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,21319695
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,20920159
Albania,ALB,"Population, total",SP.POP.TOTL,2745972
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1367813
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1378159
Algeria,DZA,"Population, total",SP.POP.TOTL,45606480
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,23217161
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,22389320
American Samoa,ASM,"Population, total",SP.POP.TOTL,43914
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,21685
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,22230
Andorra,AND,"Population, total",SP.POP.TOTL,80088
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,40903
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,39185
Angola,AGO,"Population, total",SP.POP.TOTL,36684202
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,18135546
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,18548657
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,94298
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,45051
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,49246
Argentina,ARG,"Population, total",SP.POP.TOTL,46654581
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,23099192
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,23555389
Armenia,ARM,"Population, total",SP.POP.TOTL,2777970
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1249091
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1528880
Aruba,ABW,"Population, total",SP.POP.TOTL,106277
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,50052
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,56225
Australia,AUS,"Population, total",SP.POP.TOTL,26638544
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,13228956
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,13409588
Austria,AUT,"Population, total",SP.POP.TOTL,9132383
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4498048
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4634336
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10112555
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,4991175
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,5121381
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,412623
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,196863
